Iter 0000 | Total Loss 0.036778 
Iter 0010 | Total Loss 0.001245 
Iter 0020 | Total Loss 0.000891 
Iter 0030 | Total Loss 0.000509 
Iter 0040 | Total Loss 0.000329 
Iter 0050 | Total Loss 0.000241 
Iter 0060 | Total Loss 0.000517 
Iter 0070 | Total Loss 0.000383 
Iter 0080 | Total Loss 0.000239 
Iter 0090 | Total Loss 0.000173 
Iter 0100 | Total Loss 0.000147 
Iter 0110 | Total Loss 0.000192 
Iter 0120 | Total Loss 0.000133 
Iter 0130 | Total Loss 0.000328 
Iter 0140 | Total Loss 0.000424 
Iter 0150 | Total Loss 0.000228 
Iter 0160 | Total Loss 0.000171 
Iter 0170 | Total Loss 0.000097 
Iter 0180 | Total Loss 0.000136 
Iter 0190 | Total Loss 0.000301 
